Price,District,City,Town,EnergyCertificate,Parking,ConstructionYear,Garage,Elevator,NumberOfBathrooms,AreaAssigned,RoomsAssigned,PricePerSqm,Region
210000.0,Lisboa,Vila Franca de Xira,Vila Franca de Xira,E,0.0,1980.0,false,true,1.0,75.0,2.0,2800.0,Lisboa
248500.0,Setúbal,Montijo,Montijo e Afonsoeiro,D,0.0,2006.0,False,false,2.0,113.0,2.0,2199.1150442477874,Lisboa
83000.0,Lisboa,Amadora,Águas Livres,C,0.0,1994.0,False,true,1.0,38.0,1.0,2184.2105263157896,Lisboa
543000.0,Lisboa,Lisboa,Olivais,C,0.0,1977.0,False,true,2.0,139.0,5.0,3906.4748201438847,Lisboa
340000.0,Lisboa,Lisboa,Penha de França,B-,0.0,1963.0,False,true,1.0,65.0,3.0,5230.7692307692305,Lisboa
410000.0,Lisboa,Cascais,Cascais e Estoril,C,1.0,1983.0,False,false,1.0,108.0,2.0,3796.296296296296,Lisboa
205000.0,Braga,Guimarães,Gondar,NC,0.0,2025.0,True,false,2.0,106.0,2.0,1933.9622641509434,Norte
260000.0,Porto,Trofa,Coronado (São Romão e São Mamede),C,1.0,2023.0,False,true,2.0,81.0,3.0,3209.8765432098767,Norte
620000.0,Lisboa,Lisboa,Avenidas Novas,D,0.0,1951.0,False,false,2.0,122.0,3.0,5081.9672131147545,Lisboa
485000.0,Faro,Faro,Faro (Sé e São Pedro),A+,1.0,2024.0,False,true,2.0,110.0,3.0,4409.090909090909,Algarve
372500.0,Faro,Portimão,Portimão,A,1.0,2023.0,false,true,2.0,114.0,3.0,3267.5438596491226,Algarve
349000.0,Lisboa,Cascais,Alcabideche,C,2.0,1991.0,false,false,3.0,97.0,3.0,3597.938144329897,Lisboa
152000.0,Braga,Guimarães,Azurém,B-,0.0,2020.0,false,false,1.0,40.0,0.0,3800.0,Norte
1190000.0,Lisboa,Cascais,Cascais e Estoril,C,1.0,1944.0,false,false,3.0,189.0,4.0,6296.2962962962965,Lisboa
120000.0,Setúbal,Barreiro,Barreiro e Lavradio,E,0.0,1962.0,false,false,1.0,45.0,1.0,2666.6666666666665,Lisboa
365000.0,Lisboa,Lisboa,Alvalade,B-,0.0,1988.0,False,false,1.0,64.0,2.0,5703.125,Lisboa
335000.0,Porto,Vila Nova de Gaia,Mafamude e Vilar do Paraíso,C,0.0,1993.0,false,true,3.0,146.0,4.0,2294.5205479452056,Norte
378000.0,Lisboa,Vila Franca de Xira,Vialonga,C,1.0,2005.0,False,false,2.0,151.0,3.0,2503.3112582781455,Lisboa
75000.0,Guarda,Guarda,Guarda,D,0.0,1983.0,False,false,1.0,85.0,4.0,882.3529411764706,Centro
550000.0,Setúbal,Sesimbra,Santiago (Sesimbra),F,1.0,1988.0,false,true,2.0,116.0,4.0,4741.379310344828,Lisboa
399000.0,Lisboa,Mafra,Ericeira,D,0.0,1983.0,false,false,1.0,60.0,2.0,6650.0,Lisboa
266500.0,Lisboa,Sintra,Queluz e Belas,C,0.0,1997.0,True,false,1.0,89.0,3.0,2994.38202247191,Lisboa
175000.0,Setúbal,Almada,Caparica e Trafaria,C,1.0,1999.0,false,true,1.0,57.0,2.0,3070.1754385964914,Lisboa
113000.0,Évora,Vila Viçosa,Nossa Senhora da Conceição e São Bartolomeu,E,0.0,1950.0,false,false,1.0,162.0,6.0,697.5308641975308,Alentejo
285000.0,Porto,Vila do Conde,Mindelo,C,1.0,1983.0,False,false,2.0,126.0,4.0,2261.904761904762,Norte
365000.0,Setúbal,Almada,Costa de Caparica,D,0.0,1995.0,True,true,1.0,93.0,2.0,3924.7311827956987,Lisboa
345000.0,Porto,Maia,Cidade da Maia,NC,2.0,2023.0,false,true,2.0,111.0,2.0,3108.108108108108,Norte
450000.0,Lisboa,Lisboa,Marvila,C,1.0,2003.0,False,true,2.0,75.0,2.0,6000.0,Lisboa
312000.0,Lisboa,Sobral de Monte Agraço,Sapataria,B,1.0,2016.0,False,false,2.0,119.0,3.0,2621.8487394957983,Lisboa
249900.0,Lisboa,Odivelas,Odivelas,D,0.0,1985.0,False,false,1.0,80.0,2.0,3123.75,Lisboa
245000.0,Lisboa,Alenquer,Alenquer (Santo Estêvão e Triana),C,2.0,2009.0,false,true,2.0,163.0,3.0,1503.0674846625766,Lisboa
210000.0,Lisboa,Amadora,Venteira,C,0.0,1958.0,false,false,1.0,59.0,2.0,3559.322033898305,Lisboa
580000.0,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",D,1.0,1992.0,false,true,2.0,122.0,4.0,4754.098360655737,Lisboa
240000.0,Faro,Loulé,Quarteira,D,0.0,1979.0,false,false,1.0,81.0,2.0,2962.962962962963,Algarve
170000.0,Évora,Vendas Novas,Vendas Novas,D,1.0,2002.0,False,false,1.0,94.0,2.0,1808.5106382978724,Alentejo
420000.0,Lisboa,Mafra,Ericeira,F,0.0,2024.0,False,false,2.0,90.0,4.0,4666.666666666667,Lisboa
205000.0,Porto,Vila do Conde,Azurara,NC,0.0,2023.0,True,true,1.0,65.0,1.0,3153.846153846154,Norte
185000.0,Setúbal,Alcácer do Sal,Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,D,1.0,2002.0,false,true,2.0,104.0,3.0,1778.8461538461538,Lisboa
172500.0,Setúbal,Sesimbra,Quinta do Conde,C,0.0,2001.0,false,false,2.0,95.0,3.0,1815.7894736842106,Lisboa
225000.0,Lisboa,Sintra,Rio de Mouro,C,0.0,1983.0,False,true,2.0,101.0,3.0,2227.7227722772277,Lisboa
160000.0,Lisboa,Vila Franca de Xira,Castanheira do Ribatejo e Cachoeiras,C,0.0,1984.0,False,false,1.0,60.0,2.0,2666.6666666666665,Lisboa
320000.0,Porto,Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,C,1.0,2004.0,false,true,2.0,101.0,2.0,3168.3168316831684,Norte
545000.0,Porto,Vila do Conde,Mindelo,D,1.0,1994.0,False,true,6.0,380.0,8.0,1434.2105263157894,Norte
165000.0,Setúbal,Seixal,Amora,NC,0.0,1983.0,False,false,1.0,70.0,2.0,2357.1428571428573,Lisboa
770000.0,Lisboa,Cascais,Carcavelos e Parede,A,2.0,2023.0,false,true,3.0,138.0,3.0,5579.710144927536,Lisboa
292500.0,Lisboa,Cascais,Carcavelos e Parede,C,0.0,1988.0,False,true,2.0,72.0,3.0,4062.5,Lisboa
446000.0,Lisboa,Loures,Santo António dos Cavaleiros e Frielas,NC,1.0,2024.0,False,true,2.0,79.0,2.0,5645.569620253164,Lisboa
310000.0,Lisboa,Sintra,Agualva e Mira-Sintra,E,0.0,1999.0,False,true,3.0,127.0,3.0,2440.9448818897636,Lisboa
375000.0,Setúbal,Grândola,Carvalhal,A,1.0,2020.0,False,false,2.0,130.0,4.0,2884.6153846153848,Lisboa
355000.0,Lisboa,Amadora,Águas Livres,C,1.0,2014.0,False,true,2.0,88.0,2.0,4034.090909090909,Lisboa
